"nama_usaha","alamat","lama usaha","tahun","kemitraan","aset (jutaan)","omzet (ribuan) perbulan","jml_naker","surat Izin"
"BATIK TULIS - JUHARI","DSN BULANJANG (KECAMATAN TANJUNG BUMI)","16","2007","8","640000000","17350000","3","SIUP"
"BATIK TULIS-SURIYEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","20","2003","8","570000000","25500000","3","SIUP"
"BATIK TULIS -HOTIJEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","24","1999","8","620000000","27500000","3","SIUP"
"BATIK TULIS","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","20","2003","8","65000000","16500000","3","SIUP"
"BATIK TULIS - HABIBAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","26","1997","8","68000000","28500000","3","SIUP"
"BATIK TULIS - MURANI","DSN MANGKON (KECAMATAN AROSBAYA)","19","2004","8","49000000","18740000","3","tidak memiliki"
"BATIK TULIS - NIRAH","DSN LARANGAN (KECAMATAN KLAMPIS)","23","2000","8","4500000000","84000000","3","SIUP"
"BATIK TULIS - TOYYIBAH","DSN LARANGAN (KECAMATAN KLAMPIS)","25","1998","8","5400000000","132000000","3","tidak memiliki"
"BATIK TULIS - SULAIMAH","DSN LARANGAN (KECAMATAN KLAMPIS)","25","1998","8","1000000000","145000000","3","tidak memiliki"
"BATIK TULIS - HORRIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","23","2000","8","300000000","72000000","3","tidak memiliki"
"UD SIMANIS - APPIYAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","33","1990","2","500000000","96000000","3","SIUP"
"USAHA BATIK - MARTI`AH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","25","1998","8","263000000","32000000","3","SIUP"
"USAHA BATIK -SARIFAH","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","21","2002","8","200000000","25000000","3","SIUP"
"USAHA BATIK - RAHMAWATI","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","24","1999","8","350000000","30000000","3","SIUP"
"USAHA INDUSTRI BATIK-ARIYAH","DUSUN BUDDUK (KECAMATAN TANJUNG BUMI)","15","2008","8","400000000","35000000","3","tidak memiliki"
"USAHA BATIK - ANISEH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","18","2005","8","185000000","35000000","3","tidak memiliki"
"USAHA BATIK - ENJU","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","19","2004","8","197000000","37000000","3","tidak memiliki"
"USAHA BATIK - HJ. SUPAYAH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","22","2001","8","200000000","38000000","3","tidak memiliki"
"USAHA BATIK - HAMENTEN","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","23","2000","8","240000000","32000000","3","tidak memiliki"
"USAHA BATIK - JUMA ATI","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","25","1998","8","310000000","30000000","3","SIUP"
"USAHA BATIK - SIYEH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","25","1998","8","312000000","35000000","3","tidak memiliki"
"USAHA BATIK - NORLELA","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","23","2000","8","350000000","35000000","3","tidak memiliki"
"USAHA BATIK - NIRAH","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","26","1997","8","200000000","30000000","3","tidak memiliki"
"USAHA BATIK - ATIMA","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","25","1998","8","220000000","29000000","3","tidak memiliki"
"USAHA BATIK - SUKARNI","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","23","2000","8","220000000","30000000","3","tidak memiliki"
"BATIK TULIS - JESIRAH","DSN TENGGINAH (KECAMATAN MODUNG)","24","1999","8","400000000","36000000","3","SIUP"
"BATI TULIS - SAODEH","DSN LARANGAN (KECAMATAN KLAMPIS)","34","1989","8","550800000","108000000","3","SIUP"
"BATIK TULIS - MUK A","DSN LARANGAN (KECAMATAN KLAMPIS)","31","1992","8","450000000","36000000","3","SIUP"
"BATIK TULIS - MAHRIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","19","2004","8","550800000","108000000","3","SIUP"
"BATIK TULIS - SAMSIYEH","DSN MANGKON (KECAMATAN AROSBAYA)","22","2001","8","52000000","22000000","2","SIUP"
"BATIK TULIS - ROMLAH","DSN MANGKON (KECAMATAN AROSBAYA)","18","2005","8","59000000","14550000","2","SIUP"
"BATIK TULIS-DEWI","DSN PANGPAJUNG (KECAMATAN MODUNG)","29","1994","8","65000000","17500000","2","SIUP"
"BATIK TULIS-LIHA","DSN TEBBANAH (KECAMATAN TANJUNG BUMI)","14","2009","8","65170000","35500000","2","SIUP"
"BATIK TULIS-PUTIMAH","DSN PANGPAJUNG (KECAMATAN MODUNG)","17","2006","8","75640000","109950000","2","SIUP"
"USAHA BATIK TULIS-MISTORAH","DUSUN MONGGUH (KECAMATAN TANJUNG BUMI)","27","1996","8","225000000","29800000","2","SIUP"
"BATIK TULIS - NURUL","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","15","2008","8","250000000","78000000","2","SIUP"
"ZAKKY COLECTIONS - MUZAKKI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","19","2004","1","250000000","230000000","2","SIUP"
"BATIK TULIS - LIANA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","52000000","18500000","2","tidak memiliki"
"BATIK TULIS - TUNIRAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","52000000","19450000","2","tidak memiliki"
"BATIK TULIS - SATIYAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","52000000","21000000","2","tidak memiliki"
"BATIK TULIS - MUNARI","DSN MANGKON (KECAMATAN AROSBAYA)","28","1995","8","53000000","21000000","2","tidak memiliki"
"BATIK TULIS - HALIMA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","53000000","32000000","2","tidak memiliki"
"BATIK TULIS - SUNARAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","31","1992","8","54000000","26000000","2","tidak memiliki"
"BATIK TULIS - MUNA","DSN DENGKAH (KECAMATAN TANAH MERAH)","30","1993","8","54000000","79850000","2","tidak memiliki"
"BATIK TULIS - ASTURAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","29","1994","8","55000000","19840000","2","tidak memiliki"
"BATIKTULIS - MARHAMA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","31","1992","8","56000000","14300000","2","tidak memiliki"
"BATIK TULIS - HORIYEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","31","1992","8","56000000","19750000","2","tidak memiliki"
"BATIK TULIS - MUSTINA","DSN MANGKON (KECAMATAN AROSBAYA)","26","1997","8","56000000","21640000","2","tidak memiliki"
"BATIK TULIS - RUKYANI","DSN MANGKON (KECAMATAN AROSBAYA)","35","1988","8","57000000","21700000","2","tidak memiliki"
"BATIK TULIS - ALIMA","DSN MANGKON (KECAMATAN AROSBAYA)","20","2003","8","57000000","21255000","2","tidak memiliki"
"BATIK TULIS - ENJUM","DSN MANGKON (KECAMATAN AROSBAYA)","30","1993","8","59000000","16000000","2","tidak memiliki"
"BATIK TULIS-NORIYAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","21","2002","8","61000000","11750000","2","tidak memiliki"
"BATIK TULIS MUK IDAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","27","1996","8","61000000","13750000","2","tidak memiliki"
"BATIK TULIS - MUNA","DSN DENGKAH (KECAMATAN TANAH MERAH)","28","1995","8","61000000","19500000","2","tidak memiliki"
"BATIK TULIS - MUNIA","DSN DENGKAH (KECAMATAN TANAH MERAH)","29","1994","8","61000000","19800000","2","tidak memiliki"
"BATIK TULIS - NORHASANAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","30","1993","8","62000000","16700000","2","tidak memiliki"
"BATIK TULIS - HORIYEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","27","1996","8","62000000","19450000","2","tidak memiliki"
"BATIK TULIS - HABIBEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","29","1994","8","62000000","19850000","2","tidak memiliki"
"BATIK TULIS - JEMINA","DSN DENGKAH (KECAMATAN TANAH MERAH)","30","1993","8","63000000","16500000","2","SIUP"
"BATIK TULIS - JUMA ATI","DSN DENGKAH (KECAMATAN TANAH MERAH)","26","1997","8","63000000","19250000","2","tidak memiliki"
"BATIK TULIS - MUZEH","DSN MANGKON (KECAMATAN AROSBAYA)","20","2003","8","63000000","19270000","2","tidak memiliki"
"BATIK TULIS - ASDEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","26","1997","8","63000000","19850000","2","tidak memiliki"
"BATIK TULIS - SUKARNI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","63000000","22000000","2","tidak memiliki"
"BATIK TULIS - SUMINA","DSN DENGKAH (KECAMATAN TANAH MERAH)","28","1995","8","63000000","22100000","2","tidak memiliki"
"PETANI JAGUNG - SALAMA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","64000000","24000000","2","tidak memiliki"
"BATIK TULIS - DEWI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","28","1995","8","67000000","17000000","2","SIUP"
"BATIK TULIS - ARMINTEN","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","72000000","22400000","2","tidak memiliki"
"PENGRAJIN BATIK TULIS-POTTON","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","42","1981","8","150000000","25000000","2","tidak memiliki"
"PENGRAJIN BATIK TULIS -JAMILA","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","36","1987","8","160000000","150000000","2","tidak memiliki"
"PENGRAJIN BATIK TULIS-SATTONI","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","48","1975","8","250000000","37000000","2","tidak memiliki"
"PENGRAJIN BATIK TULIS-HIMAH","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","33","1990","8","250000000","160000000","2","tidak memiliki"
"BATIK TULIS - TUNIRAH","DSN BULANJANG (KECAMATAN TANJUNG BUMI)","19","2004","8","530000000","13350000","2","tidak memiliki"
"BATIK TULIS- RUMAI","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","22","2001","8","550000000","11150000","2","tidak memiliki"
"BATIK TULIS - SUPANI","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","21","2002","8","560000000","15450000","2","tidak memiliki"
"BATIK TULIS-HOTIMAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","20","2003","8","570000000","14350000","2","tidak memiliki"
"BATIK TULIS - MARYAM","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","12","2011","8","580000000","16850000","2","tidak memiliki"
"BATIK TULIS-TIMAYYAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","17","2006","8","610000000","13500000","2","tidak memiliki"
"BATIK TLIS  HUSEIMAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","13","2010","8","610000000","13550000","2","tidak memiliki"
"BATIK TULIS - PARIDAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","18","2005","8","610000000","13700000","2","SIUP"
"BATIK TULIS-NURHAYATI","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","22","2001","8","610000000","14300000","2","tidak memiliki"
"BATIK TULIS - TIMANI","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","24","1999","8","610000000","14500000","2","tidak memiliki"
"BATIK TULIS- SAMUNA","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","22","2001","8","610000000","14750000","2","tidak memiliki"
"BATIK TULIS - MURIDAH","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","22","2001","8","620000000","12750000","2","tidak memiliki"
"BATIK TULIS-MISTIRAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","14","2009","8","620000000","14350000","2","tidak memiliki"
"BATIK TULIS - MADI","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","14","2009","8","620000000","15650000","2","tidak memiliki"
"BATIK TULISMUSRIFAH","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","24","1999","8","620000000","15750000","2","SIUP"
"BATIK TULIS - SULIMAH","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","24","1999","8","620000000","15750000","2","proses pengurusan"
"BATIK TULIS MAS ODEH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","13","2010","8","630000000","15750000","2","tidak memiliki"
"BATIK TULIS WESILAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","16","2007","8","650000000","9500000","2","tidak memiliki"
"BATIK TULIS -MISRI","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","26","1997","8","650000000","15750000","2","tidak memiliki"
"BATIK TULIS - HAMNAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","22","2001","8","650000000","17500000","2","tidak memiliki"
"BATIK TULIS QURSIYAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","19","2004","8","650000000","18500000","2","tidak memiliki"
"BATIK TULIS - SUHAIYAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","22","2001","8","650000000","98750000","2","tidak memiliki"
"BATIK TULIS-TUNA","DSN DEGKAH (KECAMATAN BLEGA)","28","1995","8","555000000","21200000","2","SIUP"
"BATIK TULIS MUSEIMAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","29","1994","8","580000000","21500000","2","tidak memiliki"
"BATIK TULIS-PUNARI","DSN DENGKAH (KECAMATAN TANAH MERAH)","29","1994","8","600000000","250000000","2","tidak memiliki"
"BATIK TULIS-MASINI","DSN NONGBENDUNG (KECAMATAN BURNEH)","19","2004","8","610000000","13250000","2","tidak memiliki"
"BATIK TULIEBBE","DSN DENGKAH (KECAMATAN TANAH MERAH)","30","1993","8","615000000","18350000","2","tidak memiliki"
"BATIK TULIS - HAMA","DSN DENGKAH (KECAMATAN TANAH MERAH)","30","1993","8","635000000","19850000","2","tidak memiliki"
"BATIK TULISRUSYANI","DSN DENGKAH (KECAMATAN TANAH MERAH)","28","1995","8","650000000","17500000","2","tidak memiliki"
"BATIK TULIS MUNIYEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","31","1992","8","650000000","23500000","2","SIUP"
"BATIK TULIS NURHASANAH","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","18","2005","8","650000000","175000000","2","tidak memiliki"
"BATIK TULIS - HASIK AH","DSN DENGKAH (KECAMATAN TANAH MERAH)","27","1996","8","670000000","198500000","2","tidak memiliki"
"BATIK TULIS - MARYAMAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","28","1995","8","720000000","19750000","2","tidak memiliki"
"BATIK TULIS - ROHANI","DSN TEBBANAH (KECAMATAN TANJUNG BUMI)","16","2007","8","750000000","2130000","2","tidak memiliki"
"BATIK TULIS-ASPA","DSN DENGKAH (KECAMATAN TANAH MERAH)","29","1994","8","750000000","22500000","2","tidak memiliki"
"BATIK TULIS - NORIDEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","30","1993","8","750000000","195000000","2","tidak memiliki"
"PENGRAJIN BATIK TULIS-ZABUR","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","41","1982","8","1200000000","750000000","2","SIUP"
"PENGRAJIN BATIK TULIS-IDA MUSTOFA","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","16","2007","8","300000000","450000000","2","tidak memiliki"
"BATIK TULIS - JETIMA","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","24","1999","1","150000000","11500000","2","tidak memiliki"
"BATIK TULIS - SUBAIDEH","DSN MANGKON (KECAMATAN AROSBAYA)","17","2006","8","53000000","19350000","2","tidak memiliki"
"BATIK TULIS - SUTAMI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","55000000","6360000","2","tidak memiliki"
"BATIK TULIS - KURSIYAH","DSN MANGKON (KECAMATAN AROSBAYA)","19","2004","8","56000000","18750000","2","tidak memiliki"
"BATIK TULIS - MUSIYAH","DSN MANGKON (KECAMATAN AROSBAYA)","28","1995","8","56000000","21750000","2","tidak memiliki"
"BATIK TULIS - RUMSIYEH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","57000000","19000000","2","tidak memiliki"
"BATIK TULIS - SIMAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","27","1996","8","57000000","19650000","2","tidak memiliki"
"BATIK TULIS - NAWERI","DSN MANGKON (KECAMATAN AROSBAYA)","21","2002","8","57000000","21750000","2","tidak memiliki"
"BATIK TULIS - BUSNIYE","DSN MANGKON (KECAMATAN AROSBAYA)","37","1986","8","57000000","25000000","2","tidak memiliki"
"BATIK TULIS - RUSMAI","DSN MANGKON (KECAMATAN AROSBAYA)","15","2008","8","58000000","21940000","2","tidak memiliki"
"BATIK TULIS - RANI","DSN MANGKON (KECAMATAN AROSBAYA)","34","1989","8","58000000","22750000","2","tidak memiliki"
"BATIK TULIS - TUNI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","28","1995","8","59000000","14000000","2","tidak memiliki"
"BATIK TULIS - MUNIMAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","29","1994","8","61000000","14500000","2","tidak memiliki"
"BATIK TULIS - HAYAROH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","17","2006","8","62000000","13850000","2","tidak memiliki"
"BATIK TULIS - SUMARMI","DSN DENGKAH (KECAMATAN TANAH MERAH)","29","1994","8","62000000","18200000","2","tidak memiliki"
"BATIK TULIS - PUSIYA","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","62000000","24000000","2","SIUP"
"BATIK TULIS - MUDI","DSN MANGKON (KECAMATAN AROSBAYA)","31","1992","8","63000000","19720000","2","SIUP"
"BATIK TULIS - JUHAIRIYEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","30","1993","8","63000000","19750000","2","tidak memiliki"
"BATIK TULIS - SUPIAH","DSN MANGKON (KECAMATAN AROSBAYA)","18","2005","8","63000000","24650000","2","tidak memiliki"
"BATIK TULIS - MATLAGI","DSN MANGKON (KECAMATAN AROSBAYA)","18","2005","8","65000000","23450000","2","tidak memiliki"
"BATIK TULIS - MISRAN","DSN MANGKON (KECAMATAN AROSBAYA)","21","2002","8","67000000","19600000","2","tidak memiliki"
"BATIK TULIS -  MAISURAH","DSN MANGKON (KECAMATAN AROSBAYA)","28","1995","8","67000000","19750000","2","tidak memiliki"
"BATIK TULIS - MUDIMAH","DSN MANGKON (KECAMATAN AROSBAYA)","28","1995","8","71000000","19000000","2","tidak memiliki"
"BATIK TULIS - NORHAYATI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","26","1997","8","72000000","35000000","2","proses pengurusan"
"BATIK TULIS TUNIRAH","DSN MANGKON (KECAMATAN AROSBAYA)","14","2009","8","73000000","19850000","2","tidak memiliki"
"PATIK TULIS - JANIYAH","DSN MANGKON (KECAMATAN AROSBAYA)","22","2001","8","75000000","21750000","2","tidak memiliki"
"BATIK TULIS - HYALIMA","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","20","2003","8","165000000","11500000","2","tidak memiliki"
"BATIK TULIS- MARYAMAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","20","2003","8","23200000","4100000","2","tidak memiliki"
"BATIK TULIS - HOTIMAH","DSN MANGKON (KECAMATAN AROSBAYA)","28","1995","8","487000000","18000000","2","tidak memiliki"
"BATIK TULIS - MUTMAINAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","21","2002","8","560000000","14540000","2","tidak memiliki"
"BATIK TULIS- LANA","DSN NONG BENDUNG (KECAMATAN BURNEH)","15","2008","8","580000000","13750000","2","tidak memiliki"
"BATIK TULIS-MUNIMAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","18","2005","8","610000000","14750000","2","tidak memiliki"
"BATIK TULIS - SANIYAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","13","2010","8","610000000","14750000","2","tidak memiliki"
"BATIK TULIS - SAK IDAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","16","2007","8","610000000","15350000","2","tidak memiliki"
"BATIK TULIS-ROHMAH","DSN NONG BENDUNG (KECAMATAN BURNEH)","16","2007","8","610000000","16750000","2","tidak memiliki"
"BATIK TULIS - RUKAYYAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","19","2004","8","620000000","12450000","2","tidak memiliki"
"BATIK TULIS-MUTMAINAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","16","2007","8","620000000","89000000","2","SIUP"
"BATIK TULIS-PUSIMA","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","24","1999","8","630000000","17650000","2","tidak memiliki"
"BATIK TULIS-TUNIRAH","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","19","2004","8","630000000","17650000","2","tidak memiliki"
